id_municipio,id,municipio_nome,unidade
3500105,1,Adamantina,URAE 1 - Sudeste
3500204,2,Adolfo,URAE 1 - Sudeste
3500303,3,Aguaí,URAE 1 - Sudeste
3500402,4,Águas da Prata,URAE 1 - Sudeste
3500501,1,Águas de Lindóia,URAE 4 - Norte
3500550,1,Águas de Santa Bárbara,URAE 2 - Centro
3500600,5,Águas de São Pedro,URAE 1 - Sudeste
3500709,6,Agudos,URAE 1 - Sudeste
3500758,7,Alambari,URAE 1 - Sudeste
3500808,8,Alfredo Marcondes,URAE 1 - Sudeste
3500907,9,Altair,URAE 1 - Sudeste
3501004,2,Altinópolis,URAE 4 - Norte
3501103,10,Alto Alegre,URAE 1 - Sudeste
3501152,11,Alumínio,URAE 1 - Sudeste
3501202,3,Álvares Florence,URAE 4 - Norte
3501301,12,Álvares Machado,URAE 1 - Sudeste
3501400,13,Álvaro de Carvalho,URAE 1 - Sudeste
3501509,14,Alvinlândia,URAE 1 - Sudeste
3501608,1,Americana,URAE 3 - Leste
3501707,4,Américo Brasiliense,URAE 4 - Norte
3501806,5,Américo de Campos,URAE 4 - Norte
3501905,2,Amparo,URAE 3 - Leste
3502002,2,Analândia,URAE 2 - Centro
3502101,6,Andradina,URAE 4 - Norte
3502200,15,Angatuba,URAE 1 - Sudeste
3502309,16,Anhembi,URAE 1 - Sudeste
3502408,17,Anhumas,URAE 1 - Sudeste
3502507,3,Aparecida,URAE 3 - Leste
3502606,18,Aparecida d’Oeste,URAE 1 - Sudeste
3502705,19,Apiaí,URAE 1 - Sudeste
3502754,20,Araçariguama,URAE 1 - Sudeste
3502804,7,Araçatuba,URAE 4 - Norte
3502903,3,Araçoiaba da Serra,URAE 2 - Centro
3503000,8,Aramina,URAE 4 - Norte
3503109,21,Arandu,URAE 1 - Sudeste
3503158,22,Arapeí,URAE 1 - Sudeste
3503208,4,Araraquara,URAE 2 - Centro
3503307,5,Araras,URAE 2 - Centro
3503356,23,Arco-Íris,URAE 1 - Sudeste
3503406,24,Arealva,URAE 1 - Sudeste
3503505,4,Areias,URAE 3 - Leste
3503604,25,Areiópolis,URAE 1 - Sudeste
3503703,9,Ariranha,URAE 4 - Norte
3503802,5,Artur Nogueira,URAE 3 - Leste
3503901,26,Arujá,URAE 1 - Sudeste
3503950,27,Aspásia,URAE 1 - Sudeste
3504008,28,Assis,URAE 1 - Sudeste
3504107,6,Atibaia,URAE 3 - Leste
3504206,29,Auriflama,URAE 1 - Sudeste
3504305,30,Avaí,URAE 1 - Sudeste
3504404,10,Avanhandava,URAE 4 - Norte
3504503,31,Avaré,URAE 1 - Sudeste
3504602,11,Bady Bassitt,URAE 4 - Norte
3504701,32,Balbinos,URAE 1 - Sudeste
3504800,12,Bálsamo,URAE 4 - Norte
3504909,33,Bananal,URAE 1 - Sudeste
3505005,34,Barão de Antonina,URAE 1 - Sudeste
3505104,13,Barbosa,URAE 4 - Norte
3505203,6,Bariri,URAE 2 - Centro
3505302,7,Barra Bonita,URAE 2 - Centro
3505351,35,Barra do Chapéu,URAE 1 - Sudeste
3505401,36,Barra do Turvo,URAE 1 - Sudeste
3505500,14,Barretos,URAE 4 - Norte
3505609,15,Barrinha,URAE 4 - Norte
3505708,37,Barueri,URAE 1 - Sudeste
3505807,38,Bastos,URAE 1 - Sudeste
3505906,16,Batatais,URAE 4 - Norte
3506003,8,Bauru,URAE 2 - Centro
3506102,17,Bebedouro,URAE 4 - Norte
3506201,39,Bento de Abreu,URAE 1 - Sudeste
3506300,40,Bernardino de Campos,URAE 1 - Sudeste
3506359,41,Bertioga,URAE 1 - Sudeste
3506409,18,Bilac,URAE 4 - Norte
3506508,19,Birigui,URAE 4 - Norte
3506607,42,Biritiba-Mirim,URAE 1 - Sudeste
3506706,9,Boa Esperança do Sul,URAE 2 - Centro
3506805,43,Bocaina,URAE 1 - Sudeste
3506904,10,Bofete,URAE 2 - Centro
3507001,44,Boituva,URAE 1 - Sudeste
3507100,7,Bom Jesus dos Perdões,URAE 3 - Leste
3507159,45,Bom Sucesso de Itararé,URAE 1 - Sudeste
3507209,46,Borá,URAE 1 - Sudeste
3507308,47,Boracéia,URAE 1 - Sudeste
3507407,20,Borborema,URAE 4 - Norte
3507456,11,Borebi,URAE 2 - Centro
3507506,48,Botucatu,URAE 1 - Sudeste
3507605,49,Bragança Paulista,URAE 1 - Sudeste
3507704,21,Braúna,URAE 4 - Norte
3507753,50,Brejo Alegre,URAE 1 - Sudeste
3507803,22,Brodowski,URAE 4 - Norte
3507902,12,Brotas,URAE 2 - Centro
3508009,51,Buri,URAE 1 - Sudeste
3508108,23,Buritama,URAE 4 - Norte
3508207,52,Buritizal,URAE 1 - Sudeste
